N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,ConvergenceRestarts
150,3,10,3515.1958,12374,300.02,12330,1501130,344,1
150,3,20,3996.3799,12950,300.02,9570,1528778,239,0
150,3,30,3763.4487,12370,300.13,5495,1277409,327,1
150,6,10,6143.1313,9284,300.02,7782,1866784,243,0
150,6,20,6657.1719,9360,300.03,6710,1632438,409,1
150,6,30,6230.9463,9027,300.02,8145,1624432,239,0
150,9,10,8350.0752,7565,300.02,6882,1898945,297,0
150,9,20,8794.3984,7672,300.04,7044,1702582,256,0
150,9,30,8236.2969,7681,300.02,7606,1972309,237,0
200,3,10,3798.5566,11046,300.02,5873,1332972,388,1
200,3,20,3849.1118,11164,300.03,5453,1296878,531,2
200,3,30,4037.6108,11000,300.05,8864,1282736,377,1
200,6,10,6518.8613,7221,300.04,5141,1537899,315,0
200,6,20,6528.9062,7431,300.02,3912,1452535,471,1
200,6,30,6811.6660,7455,300.04,7154,1635038,274,0
200,9,10,8798.4307,5789,300.05,5622,1614240,290,0
200,9,20,8994.6104,5720,300.05,4714,1663507,327,0
200,9,30,9237.8623,5750,300.12,4759,1581485,299,0
